time,queue
2015-12-14 11:52:01,1
2015-12-14 11:57:00,1
2015-12-14 11:57:01,2
2015-12-14 12:07:01,3
2015-12-14 12:07:02,4
2015-12-14 12:12:02,1
2015-12-14 12:12:03,2
2015-12-14 12:17:01,3
2015-12-14 12:22:01,2
2015-12-14 12:32:01,1
2015-12-14 12:32:02,2
2015-12-14 12:47:02,2
2015-12-14 13:02:00,1
2015-12-14 13:02:01,2
2015-12-14 13:02:02,3
2015-12-14 13:07:02,1
2015-12-14 13:17:01,1
2015-12-14 13:17:03,2
2015-12-14 13:27:02,2
2015-12-14 13:52:00,1
2015-12-14 13:52:01,2
2015-12-14 14:02:01,1
2015-12-14 14:02:02,2
2015-12-14 14:07:01,1
2015-12-14 14:07:02,2
2015-12-14 14:17:01,1
2015-12-14 14:27:01,1
2015-12-14 14:32:03,1
2015-12-14 14:42:02,1
2015-12-14 14:52:02,1
2015-12-14 14:57:01,2
2015-12-14 15:01:02,1
2015-12-14 15:01:03,2
2015-12-14 15:02:02,3
2015-12-14 15:02:03,5
2015-12-14 15:02:05,6
2015-12-14 15:12:02,1
2015-12-14 15:12:03,2
2015-12-14 15:17:02,2
2015-12-14 15:17:03,3
2015-12-14 15:22:02,2
2015-12-14 15:22:04,4
2015-12-14 15:22:05,6
2015-12-14 15:26:03,1
2015-12-14 15:32:03,1
2015-12-14 15:32:04,3
2015-12-14 15:32:05,4
2015-12-14 15:41:02,1
2015-12-14 15:42:01,2
2015-12-14 15:47:01,1
2015-12-14 15:47:02,2
2015-12-14 15:57:02,2
2015-12-14 16:07:01,1
2015-12-14 16:07:02,2
2015-12-14 16:07:03,4
2015-12-14 16:12:01,1
2015-12-14 16:12:03,3
2015-12-14 16:17:02,1
2015-12-14 16:22:03,2
2015-12-14 16:27:01,2
2015-12-14 16:32:03,1
2015-12-14 16:37:00,1
2015-12-14 16:37:01,3
2015-12-14 16:52:03,1
2015-12-14 16:57:01,1
2015-12-14 17:02:02,2
2015-12-14 17:07:01,1
2015-12-14 17:07:02,3
2015-12-14 17:07:03,4
2015-12-14 17:12:02,1
2015-12-14 17:17:02,2
2015-12-14 17:22:02,1
2015-12-14 17:22:03,2
2015-12-14 17:26:02,1
2015-12-14 17:27:00,3
2015-12-14 17:27:01,4
2015-12-14 17:27:02,7
2015-12-14 17:31:01,2
2015-12-14 17:32:02,2
2015-12-14 17:37:00,1
2015-12-14 17:37:02,2
2015-12-14 17:42:04,2
2015-12-14 17:42:05,3
2015-12-14 17:57:02,2
2015-12-14 17:57:03,3
2015-12-14 18:12:02,1
2015-12-14 18:17:01,1
2015-12-14 18:22:01,1
2015-12-14 18:27:01,1
2015-12-14 18:27:02,2
2015-12-14 18:32:02,1
2015-12-14 18:47:01,1
2015-12-14 18:47:02,2
2015-12-14 18:52:01,1
2015-12-14 18:57:01,2
2015-12-14 19:02:02,1
2015-12-14 19:12:02,2
2015-12-14 19:12:04,4
2015-12-14 19:32:02,1
2015-12-14 19:42:00,1
2015-12-14 19:42:03,2
2015-12-14 19:47:02,1
2015-12-14 19:57:01,2
2015-12-14 19:57:02,3
2015-12-14 20:02:01,1
2015-12-14 20:12:03,1
2015-12-14 20:37:02,1
2015-12-14 20:42:02,2
2015-12-14 20:42:03,4
2015-12-14 20:52:02,1
2015-12-14 20:57:00,1
2015-12-14 21:07:00,1
2015-12-14 21:17:02,1
2015-12-14 21:22:01,1
2015-12-14 21:22:02,2
2015-12-14 21:52:02,1
2015-12-14 21:57:02,1
2015-12-14 22:02:01,1
2015-12-14 22:12:03,1
2015-12-14 22:16:03,1
2015-12-14 22:57:01,1
2015-12-15 00:12:02,1
2015-12-15 00:12:03,2
2015-12-15 00:47:01,1
2015-12-15 00:47:02,2
2015-12-15 03:02:02,1
2015-12-15 03:02:03,2
2015-12-15 03:32:03,1
2015-12-15 03:37:01,1
2015-12-15 06:32:03,2
2015-12-15 06:52:02,2
2015-12-15 06:52:03,3
2015-12-15 06:57:02,1
2015-12-15 06:57:03,3
2015-12-15 06:57:04,4
2015-12-15 07:02:03,1
2015-12-15 07:32:02,1
2015-12-15 07:37:01,1
2015-12-15 07:42:02,2
2015-12-15 07:42:03,3
2015-12-15 07:47:01,1
2015-12-15 07:47:02,2
2015-12-15 07:52:02,1
2015-12-15 07:57:02,1
2015-12-15 08:02:03,1
2015-12-15 08:02:04,2
2015-12-15 08:02:05,3
2015-12-15 08:07:02,1
2015-12-15 08:12:02,1
2015-12-15 08:17:01,1
2015-12-15 08:17:05,2
2015-12-15 08:17:06,3
2015-12-15 08:21:00,1
2015-12-15 08:22:01,1
2015-12-15 08:27:04,1
2015-12-15 08:32:03,1
2015-12-15 08:36:03,1
2015-12-15 08:37:00,2
2015-12-15 08:37:01,3
2015-12-15 08:47:01,1
2015-12-15 08:47:02,2
2015-12-15 08:56:03,1
2015-12-15 08:57:01,2
2015-12-15 08:57:02,4
2015-12-15 09:07:02,1
2015-12-15 09:12:04,1
2015-12-15 09:12:05,2
2015-12-15 09:22:04,1
2015-12-15 09:32:03,1
2015-12-15 09:37:01,2
2015-12-15 09:42:03,1
2015-12-15 09:47:01,1
2015-12-15 09:57:01,2
2015-12-15 09:57:02,3
2015-12-15 09:57:03,4
2015-12-15 10:01:00,1
2015-12-15 10:02:00,1
2015-12-15 10:07:01,1
2015-12-15 10:07:02,2
2015-12-15 10:07:03,3
2015-12-15 10:12:02,1
2015-12-15 10:22:03,3
2015-12-15 10:22:04,4
2015-12-15 10:27:03,1
2015-12-15 10:32:00,1
2015-12-15 10:32:03,2
2015-12-15 10:36:04,1
2015-12-15 10:37:01,3
2015-12-15 10:37:02,4
2015-12-15 10:37:04,5
2015-12-15 10:42:03,1
2015-12-15 10:47:01,1
2015-12-15 10:47:03,2
2015-12-15 10:52:04,1
2015-12-15 10:57:00,1
2015-12-15 11:02:05,1
2015-12-15 11:07:02,1
2015-12-15 11:07:03,2
2015-12-15 11:12:02,1
2015-12-15 11:12:03,3
2015-12-15 11:17:03,1
2015-12-15 11:27:05,1
2015-12-15 11:32:04,1
2015-12-15 11:37:00,1
2015-12-15 11:42:03,1
2015-12-15 11:57:00,1
2015-12-15 11:57:01,2
2015-12-15 11:57:02,3
2015-12-15 12:02:04,2
2015-12-15 12:07:02,1
2015-12-15 12:07:03,2
2015-12-15 12:07:05,3
2015-12-15 12:17:00,1
2015-12-15 12:27:01,1
2015-12-15 12:37:01,2
2015-12-15 12:37:02,3
2015-12-15 12:47:01,1
2015-12-15 12:47:02,2
2015-12-15 12:57:00,1
2015-12-15 13:02:02,1
2015-12-15 13:02:03,2
2015-12-15 13:06:03,2
2015-12-15 13:07:01,3
2015-12-15 13:07:02,4
2015-12-15 13:07:03,5
2015-12-15 13:11:01,1
2015-12-15 13:12:01,2
2015-12-15 13:12:02,3
2015-12-15 13:12:03,4
2015-12-15 13:27:01,1
2015-12-15 13:37:01,1
2015-12-15 13:42:02,1
2015-12-15 13:47:01,1
2015-12-15 13:57:02,1
2015-12-15 14:02:00,1
2015-12-15 14:07:02,3
2015-12-15 14:17:01,1
2015-12-15 14:27:01,1
2015-12-15 14:32:00,1
2015-12-15 14:32:02,2
2015-12-15 14:41:01,1
2015-12-15 14:42:01,2
2015-12-15 14:42:02,5
2015-12-15 14:42:03,6
2015-12-15 14:57:02,1
2015-12-15 15:02:02,1
2015-12-15 15:17:01,1
2015-12-15 15:17:02,2
2015-12-15 15:22:02,1
2015-12-15 15:22:03,2
2015-12-15 15:22:04,3
2015-12-15 15:42:01,2
2015-12-15 15:42:02,3
2015-12-15 15:52:00,1
2015-12-15 15:52:01,2
2015-12-15 15:52:03,3
2015-12-15 16:02:03,1
2015-12-15 16:07:02,2
2015-12-15 16:12:02,1
2015-12-15 16:17:02,1
2015-12-15 16:17:03,3
2015-12-15 16:22:03,1
2015-12-15 16:22:04,4
2015-12-15 16:27:02,1
2015-12-15 16:37:01,1
2015-12-15 16:42:03,2
2015-12-15 16:47:01,1
2015-12-15 16:52:00,1
2015-12-15 16:52:02,3
2015-12-15 16:57:02,1
2015-12-15 17:02:00,1
2015-12-15 17:06:03,2
2015-12-15 17:07:00,3
2015-12-15 17:07:01,5
2015-12-15 17:07:02,6
2015-12-15 17:12:04,3
2015-12-15 17:22:03,1
2015-12-15 17:32:03,1
2015-12-15 17:37:02,1
2015-12-15 17:42:02,1
2015-12-15 17:52:00,1
2015-12-15 18:02:01,1
2015-12-15 18:02:03,2
2015-12-15 18:07:02,1
2015-12-15 18:17:01,1
2015-12-15 18:17:02,2
2015-12-15 18:32:02,1
2015-12-15 18:32:03,5
2015-12-15 18:42:02,1
2015-12-15 19:12:02,1
2015-12-15 19:17:02,1
2015-12-15 19:47:01,1
2015-12-15 19:47:03,2
2015-12-15 20:07:01,1
2015-12-15 20:37:01,1
2015-12-15 20:37:02,2
2015-12-15 20:42:03,1
2015-12-15 20:52:02,2
2015-12-15 21:01:02,1
2015-12-15 21:02:00,3
2015-12-15 21:07:00,1
2015-12-15 21:07:01,2
2015-12-15 21:07:02,3
2015-12-15 21:12:03,1
2015-12-15 21:21:02,1
2015-12-15 21:32:02,2
2015-12-15 21:32:03,3
2015-12-16 00:47:01,1
2015-12-16 01:37:01,1
2015-12-16 01:47:02,1
2015-12-16 03:56:02,1
2015-12-16 03:57:01,3
2015-12-16 05:17:01,1
2015-12-16 05:22:02,1
2015-12-16 05:27:01,1
2015-12-16 05:42:01,1
2015-12-16 05:52:02,1
2015-12-16 05:57:01,2
2015-12-16 06:02:02,1
2015-12-16 06:17:01,1
2015-12-16 06:32:02,1
2015-12-16 06:32:03,2
2015-12-16 06:37:01,1
2015-12-16 06:57:01,1
2015-12-16 06:57:02,2
2015-12-16 07:01:00,1
2015-12-16 07:02:02,2
2015-12-16 07:02:03,4
2015-12-16 07:12:03,2
2015-12-16 07:22:03,1
2015-12-16 07:27:01,1
2015-12-16 07:27:02,2
2015-12-16 07:32:03,1
2015-12-16 07:32:04,2
2015-12-16 07:37:01,1
2015-12-16 08:02:00,1
2015-12-16 08:07:01,1
2015-12-16 08:07:02,2
2015-12-16 08:17:02,1
2015-12-16 08:27:00,1
2015-12-16 08:27:01,2
2015-12-16 08:32:02,1
2015-12-16 08:57:01,1
2015-12-16 09:01:01,1
2015-12-16 09:07:01,2
2015-12-16 09:12:03,1
2015-12-16 09:17:01,2
2015-12-16 09:32:01,1
2015-12-16 09:32:03,2
2015-12-16 09:42:03,1
2015-12-16 09:42:04,2
2015-12-16 09:47:01,1
2015-12-16 09:52:02,1
2015-12-16 09:52:04,2
2015-12-16 10:12:00,1
2015-12-16 10:12:02,2
2015-12-16 10:27:01,1
2015-12-16 10:37:01,1
2015-12-16 11:02:02,1
2015-12-16 11:02:03,2
2015-12-16 11:07:01,2
2015-12-16 11:17:00,1
2015-12-16 11:22:02,1
2015-12-16 11:22:03,2
2015-12-16 11:32:04,1
2015-12-16 11:37:02,1
2015-12-16 11:57:02,1
2015-12-16 12:02:01,1
2015-12-16 12:02:03,2
2015-12-16 12:22:02,1
2015-12-16 12:42:00,1
2015-12-16 12:42:02,2
2015-12-16 12:47:01,2
2015-12-16 12:52:00,1
2015-12-16 12:52:03,2
2015-12-16 12:57:02,2
2015-12-16 12:57:03,4
2015-12-16 13:02:01,1
2015-12-16 13:02:02,5
2015-12-16 13:27:00,1
2015-12-16 13:32:01,1
2015-12-16 13:32:03,2
2015-12-16 13:37:01,3
2015-12-16 13:47:01,2
2015-12-16 13:47:03,4
2015-12-16 13:57:01,1
2015-12-16 14:02:02,1
2015-12-16 14:37:01,1
2015-12-16 14:42:02,1
2015-12-16 14:47:00,1
2015-12-16 14:47:02,2
2015-12-16 15:07:01,1
2015-12-16 15:17:01,1
2015-12-16 15:27:01,2
2015-12-16 15:27:02,4
2015-12-16 15:27:03,7
2015-12-16 15:32:00,2
2015-12-16 15:32:01,3
2015-12-16 15:32:02,5
2015-12-16 15:32:03,6
2015-12-16 15:32:05,7
2015-12-16 15:36:03,2
2015-12-16 15:47:02,3
2015-12-16 15:47:03,4
2015-12-16 15:47:04,6
2015-12-16 15:52:02,1
2015-12-16 15:52:04,2
2015-12-16 15:52:05,4
2015-12-16 15:57:02,1
2015-12-16 16:02:04,2
2015-12-16 16:07:01,1
2015-12-16 16:22:02,1
2015-12-16 16:27:01,2
2015-12-16 16:27:02,4
2015-12-16 16:27:03,5
2015-12-16 16:32:05,1
2015-12-16 16:37:01,1
2015-12-16 16:37:02,3
2015-12-16 16:42:02,1
2015-12-16 16:42:03,2
2015-12-16 16:42:04,3
2015-12-16 16:46:04,1
2015-12-16 16:46:05,2
2015-12-16 16:47:01,3
2015-12-16 16:47:03,4
2015-12-16 16:57:02,1
2015-12-16 17:02:02,2
2015-12-16 17:12:02,2
2015-12-16 17:17:00,1
2015-12-16 17:17:01,2
2015-12-16 17:22:02,1
2015-12-16 17:22:04,3
2015-12-16 17:37:02,2
2015-12-16 17:47:01,2
2015-12-16 17:57:01,1
2015-12-16 18:02:02,1
2015-12-16 18:27:00,1
2015-12-16 18:32:02,1
2015-12-16 18:57:01,2
2015-12-16 19:02:03,1
2015-12-16 19:07:01,2
2015-12-16 19:07:02,3
2015-12-16 19:12:02,1
2015-12-16 19:12:03,3
2015-12-16 19:16:00,1
2015-12-16 19:22:03,1
2015-12-16 19:22:04,2
2015-12-16 19:37:01,1
2015-12-16 19:37:02,2
2015-12-16 19:52:01,1
2015-12-16 19:52:02,2
2015-12-16 19:52:03,4
2015-12-16 20:12:02,1
2015-12-16 20:12:03,2
2015-12-16 20:12:04,3
2015-12-16 20:32:03,1
2015-12-16 21:17:01,1
2015-12-16 21:32:03,1
2015-12-16 21:47:00,1
2015-12-16 22:22:03,1
2015-12-16 22:37:01,1
2015-12-16 23:17:01,1
2015-12-16 23:27:01,1
2015-12-16 23:31:01,1
2015-12-17 00:22:02,1
2015-12-17 00:51:01,3
2015-12-17 00:52:00,4
2015-12-17 00:52:02,5
2015-12-17 03:27:01,1
2015-12-17 04:47:01,2
2015-12-17 05:47:01,1
2015-12-17 05:47:02,2
2015-12-17 05:57:04,3
2015-12-17 06:22:02,1
2015-12-17 06:27:01,1
2015-12-17 06:42:02,1
2015-12-17 06:47:01,1
2015-12-17 06:57:01,1
2015-12-17 06:57:02,2
2015-12-17 07:07:02,2
2015-12-17 07:12:02,3
2015-12-17 07:16:00,1
2015-12-17 07:16:01,1
2015-12-17 07:17:01,3
2015-12-17 07:32:02,1
2015-12-17 07:37:01,1
2015-12-17 07:42:02,1
2015-12-17 07:42:03,5
2015-12-17 07:47:01,2
2015-12-17 07:52:02,1
2015-12-17 07:57:01,1
2015-12-17 08:06:02,1
2015-12-17 08:37:01,1
2015-12-17 08:37:02,2
2015-12-17 08:47:03,1
2015-12-17 08:57:01,1
2015-12-17 08:57:02,2
2015-12-17 09:27:01,1
2015-12-17 09:32:01,1
2015-12-17 09:42:03,1
2015-12-17 09:52:00,1
2015-12-17 10:02:01,1
2015-12-17 10:32:01,1
2015-12-17 11:07:01,1
2015-12-17 11:22:02,2
2015-12-17 11:26:02,1
2015-12-17 11:32:01,1
2015-12-17 11:32:02,2
2015-12-17 11:32:03,4
2015-12-17 11:32:04,5
2015-12-17 11:36:00,2
2015-12-17 11:47:02,1
2015-12-17 11:57:01,1
2015-12-17 12:12:00,1
2015-12-17 12:22:04,1
2015-12-17 12:27:01,2
2015-12-17 12:32:02,2
2015-12-17 12:36:01,1
2015-12-17 12:36:02,2
2015-12-17 12:36:03,3
2015-12-17 12:37:01,4
2015-12-17 12:42:02,1
2015-12-17 12:42:03,3
2015-12-17 12:47:00,1
2015-12-17 12:47:02,2
2015-12-17 12:56:02,1
2015-12-17 12:56:03,2
2015-12-17 13:07:01,2
2015-12-17 13:07:02,4
2015-12-17 13:07:03,5
2015-12-17 13:12:02,2
2015-12-17 13:12:03,4
2015-12-17 13:12:04,5
2015-12-17 13:17:02,1
2015-12-17 13:22:03,1
2015-12-17 13:22:04,3
2015-12-17 13:27:02,1
2015-12-17 13:32:03,1
2015-12-17 13:37:01,1
2015-12-17 13:47:01,1
2015-12-17 13:47:02,2
2015-12-17 13:52:00,1
2015-12-17 13:52:01,2
2015-12-17 13:52:02,3
2015-12-17 13:57:02,1
2015-12-17 14:06:02,1
2015-12-17 14:07:02,2
2015-12-17 14:07:03,3
2015-12-17 14:12:00,1
2015-12-17 14:17:01,1
2015-12-17 14:17:02,2
2015-12-17 14:27:01,1
2015-12-17 14:36:03,1
2015-12-17 14:37:00,2
2015-12-17 14:47:01,1
2015-12-17 14:57:01,1
2015-12-17 14:57:02,2
2015-12-17 15:02:01,1
2015-12-17 15:02:02,2
2015-12-17 15:12:02,1
2015-12-17 15:17:01,2
2015-12-17 15:22:02,1
2015-12-17 15:27:01,2
2015-12-17 15:27:02,4
2015-12-17 15:32:02,2
2015-12-17 15:42:02,1
2015-12-17 15:42:03,2
2015-12-17 15:42:04,3
2015-12-17 15:47:01,1
2015-12-17 15:47:02,2
2015-12-17 16:12:01,2
2015-12-17 16:12:02,3
2015-12-17 16:22:02,1
2015-12-17 16:22:03,2
2015-12-17 16:22:04,4
2015-12-17 16:27:02,1
2015-12-17 16:32:02,2
2015-12-17 16:32:03,4
2015-12-17 16:37:01,1
2015-12-17 16:42:02,1
2015-12-17 16:52:02,1
2015-12-17 16:52:03,3
2015-12-17 16:57:01,1
2015-12-17 16:57:02,2
2015-12-17 17:02:03,2
2015-12-17 17:02:05,3
2015-12-17 17:12:00,1
2015-12-17 17:17:02,1
2015-12-17 17:22:03,2
2015-12-17 17:22:04,4
2015-12-17 17:26:02,1
2015-12-17 17:27:01,1
2015-12-17 17:32:01,1
2015-12-17 17:32:02,2
2015-12-17 17:32:03,5
2015-12-17 17:32:04,6
2015-12-17 17:36:03,1
2015-12-17 17:36:04,2
2015-12-17 17:37:01,2
2015-12-17 17:37:02,3
2015-12-17 17:52:02,1
2015-12-17 17:52:03,3
2015-12-17 17:56:04,1
2015-12-17 17:57:02,2
2015-12-17 18:02:03,1
2015-12-17 18:07:02,1
2015-12-17 18:17:01,1
2015-12-17 18:17:02,2
2015-12-17 18:22:03,1
2015-12-17 18:27:02,1
2015-12-17 19:17:00,2
2015-12-17 19:17:01,3
2015-12-17 19:17:02,4
2015-12-17 19:22:02,1
2015-12-17 19:37:00,2
2015-12-17 19:42:06,1
2015-12-17 19:47:01,1
2015-12-17 19:47:02,2
2015-12-17 19:56:02,1
2015-12-17 19:57:01,2
2015-12-17 19:57:02,3
2015-12-17 20:16:02,1
2015-12-17 20:17:01,2
2015-12-17 20:22:02,1
2015-12-17 20:22:03,2
2015-12-17 20:27:00,1
2015-12-17 20:52:03,2
2015-12-17 21:27:00,1
2015-12-17 21:42:02,1
2015-12-18 06:11:04,2
2015-12-18 06:12:02,3
2015-12-18 06:52:02,1
2015-12-18 07:04:02,1
2015-12-18 07:07:01,1
2015-12-18 07:22:02,1
2015-12-18 07:37:01,1
2015-12-18 08:06:03,1
2015-12-18 08:07:01,2
2015-12-18 08:21:01,1
2015-12-18 08:21:02,2
2015-12-18 08:42:02,1
2015-12-18 08:57:01,1
2015-12-18 09:12:00,1
2015-12-18 09:12:02,2
2015-12-18 09:17:02,1
2015-12-18 09:22:03,1
2015-12-18 09:32:02,1
2015-12-18 09:32:03,2
2015-12-18 09:47:03,1
2015-12-18 09:52:00,1
2015-12-18 09:52:02,2
2015-12-18 09:57:01,1
2015-12-18 10:02:02,1
2015-12-18 10:12:03,1
2015-12-18 10:22:02,1
2015-12-18 10:22:03,3
2015-12-18 10:27:00,1
2015-12-18 10:37:00,1
2015-12-18 10:37:01,2
2015-12-18 10:52:02,2
2015-12-18 10:52:03,3
2015-12-18 10:57:02,1
2015-12-18 11:02:03,1
2015-12-18 11:02:04,2
2015-12-18 11:02:05,3
2015-12-18 11:07:02,3
2015-12-18 11:17:02,1
2015-12-18 11:27:03,1
2015-12-18 11:42:02,1
2015-12-18 11:52:00,1
2015-12-18 11:52:02,3
2015-12-18 11:52:03,4
2015-12-18 11:57:00,1
2015-12-18 11:57:01,2
2015-12-18 12:02:02,1
2015-12-18 12:02:03,2
2015-12-18 12:07:00,1
2015-12-18 12:07:01,2
2015-12-18 12:11:01,1
2015-12-18 12:11:02,2
2015-12-18 12:17:01,1
2015-12-18 12:22:00,1
2015-12-18 12:22:01,2
2015-12-18 12:27:00,2
2015-12-18 12:27:01,5
2015-12-18 12:27:02,6
2015-12-18 12:32:00,1
2015-12-18 12:42:02,1
2015-12-18 12:47:01,1
2015-12-18 12:52:01,1
2015-12-18 12:52:02,3
2015-12-18 12:56:01,1
2015-12-18 12:57:01,2
2015-12-18 13:07:01,1
2015-12-18 13:12:01,2
2015-12-18 13:16:01,2
2015-12-18 13:17:00,4
2015-12-18 13:27:01,2
2015-12-18 13:27:02,4
2015-12-18 13:32:01,2
2015-12-18 13:32:02,3
2015-12-18 13:37:02,1
2015-12-18 13:42:01,1
2015-12-18 13:52:01,1
2015-12-18 14:02:01,1
2015-12-18 14:02:02,3
2015-12-18 14:07:00,1
2015-12-18 14:17:01,1
2015-12-18 14:22:02,1
2015-12-18 14:27:01,2
2015-12-18 14:32:00,2
2015-12-18 14:32:01,3
2015-12-18 14:37:00,1
2015-12-18 14:42:00,1
2015-12-18 14:42:01,2
2015-12-18 14:57:01,2
2015-12-18 15:02:01,1
2015-12-18 15:06:01,1
2015-12-18 15:07:00,2
2015-12-18 15:07:01,3
2015-12-18 15:17:02,1
2015-12-18 15:22:01,1
2015-12-18 15:27:01,1
2015-12-18 15:32:01,2
2015-12-18 15:32:02,3
2015-12-18 15:37:01,2
2015-12-18 15:42:00,1
2015-12-18 15:42:01,3
2015-12-18 15:47:01,2
2015-12-18 15:57:01,1
2015-12-18 16:02:01,3
2015-12-18 16:02:02,5
2015-12-18 16:06:01,1
2015-12-18 16:06:02,2
2015-12-18 16:07:00,3
2015-12-18 16:07:01,5
2015-12-18 16:12:01,1
2015-12-18 16:12:02,3
2015-12-18 16:22:01,3
2015-12-18 16:22:02,5
2015-12-18 16:32:02,2
2015-12-18 16:41:02,1
2015-12-18 16:42:00,2
2015-12-18 16:42:01,5
2015-12-18 16:47:01,1
2015-12-18 16:47:02,2
2015-12-18 16:51:01,1
2015-12-18 16:52:01,2
2015-12-18 16:52:02,3
2015-12-18 16:57:00,1
2015-12-18 16:57:01,3
2015-12-18 16:57:02,4
2015-12-18 17:12:01,1
2015-12-18 17:17:01,1
2015-12-18 17:17:02,2
2015-12-18 17:27:01,1
2015-12-18 17:32:01,1
2015-12-18 17:32:02,2
2015-12-18 17:36:01,1
2015-12-18 17:37:02,2
2015-12-18 17:37:03,5
2015-12-18 17:42:00,1
2015-12-18 18:07:01,1
2015-12-18 18:22:01,1
2015-12-18 18:32:01,1
2015-12-18 18:37:01,2
2015-12-18 18:42:01,1
2015-12-18 19:01:02,1
2015-12-18 19:02:01,2
2015-12-18 19:07:01,1
2015-12-18 19:12:01,3
2015-12-18 19:17:02,1
2015-12-18 19:17:03,2
2015-12-18 19:21:00,1
2015-12-18 19:21:01,3
2015-12-18 19:22:03,3
2015-12-18 20:47:00,1
2015-12-18 21:07:01,1
2015-12-18 21:12:01,1
2015-12-18 21:32:01,1
2015-12-19 07:40:02,2
2015-12-19 07:40:03,4
2015-12-19 07:42:00,5
2015-12-19 07:47:00,2
2015-12-19 08:02:04,3
2015-12-19 08:07:01,2
2015-12-19 08:11:01,1
2015-12-19 09:07:01,1
2015-12-19 09:12:02,1
2015-12-19 09:27:01,2
2015-12-19 09:32:01,2
2015-12-19 09:52:01,2
2015-12-19 10:02:00,1
2015-12-19 10:07:00,1
2015-12-19 10:12:01,3
2015-12-19 10:17:00,1
2015-12-19 10:27:01,1
2015-12-19 10:42:00,1
2015-12-19 10:47:01,1
2015-12-19 10:57:00,1
2015-12-19 10:57:01,2
2015-12-19 11:02:01,1
2015-12-19 11:12:00,1
2015-12-19 11:12:01,2
2015-12-19 11:17:01,2
2015-12-19 11:17:02,3
2015-12-19 11:27:01,2
2015-12-19 11:27:02,3
2015-12-19 11:32:01,1
2015-12-19 11:42:01,1
2015-12-19 11:47:01,1
2015-12-19 11:52:01,2
2015-12-19 11:57:00,1
2015-12-19 11:57:01,3
2015-12-19 12:12:01,2
2015-12-19 12:17:01,1
2015-12-19 12:22:01,1
2015-12-19 12:42:01,3
2015-12-19 12:47:01,2
2015-12-19 12:57:01,1
2015-12-19 12:57:02,2
2015-12-19 13:02:00,1
2015-12-19 13:12:01,1
2015-12-19 13:27:01,1
2015-12-19 13:32:00,1
2015-12-19 13:42:00,1
2015-12-19 13:47:01,2
2015-12-19 13:52:02,1
2015-12-19 13:57:01,1
2015-12-19 14:02:01,3
2015-12-19 14:07:00,1
2015-12-19 14:07:01,3
2015-12-19 14:12:01,1
2015-12-19 14:22:01,2
2015-12-19 14:42:01,1
2015-12-19 15:56:00,4
2015-12-19 15:56:01,7
2015-12-19 15:57:00,8
2015-12-19 16:07:01,3
2015-12-19 16:17:00,1
2015-12-19 16:17:01,2
2015-12-19 16:22:01,1
2015-12-19 16:27:01,1
2015-12-19 16:32:01,1
2015-12-19 16:37:00,2
2015-12-19 16:37:01,3
2015-12-19 16:52:01,1
2015-12-19 16:52:02,2
2015-12-19 17:02:01,1
2015-12-19 17:06:01,1
2015-12-19 17:07:00,2
2015-12-19 17:07:01,4
2015-12-19 17:12:01,1
2015-12-19 17:17:01,4
2015-12-19 17:27:01,1
2015-12-19 17:37:00,1
2015-12-19 17:37:01,2
2015-12-19 17:51:01,1
2015-12-19 17:52:00,3
2015-12-19 17:52:01,4
2015-12-19 18:02:00,1
