"date","code","states","severity","tornado","wind","hail","state_count","nj","pa","year","month","day"
2016-07-14,"SLGT-T0-W345-H68","KS, KY, OK, TN, MO, SC, GA, NY, VA, AL, NJ, PA, NC, WV, AR, VT, IN, ME, NH, FL, TX, MA, OH, IL, LA, MS, SD, CO, MT, ND, NE","SLGT","0","345","68",31,TRUE,TRUE,"2016","07","14"
2016-07-13,"SLGT-T0-W536-H39","KS, IA, MN, OH, MO, FL, OK, MI, VA, IL, IN, SC, NY, MS, LA, AL, TX, WI, TN, KY, PA, NC","SLGT","0","536","39",22,FALSE,TRUE,"2016","07","13"
2016-07-09,"SLGT-T1-W131-H57","ND, SC, OK, NY, GA, TN, AL, PA, TX, MS, NJ, MT, MO, SD, ID, MN, CO","SLGT","1","131","57",17,TRUE,TRUE,"2016","07","09"
2016-07-08,"ENH-T0-W473-H88","KY, OK, IN, MI, GA, SC, OH, WV, MO, NJ, VA, TN, AR, WY, TX, NC, NY, FL, NM, CO","ENH","0","473","88",20,TRUE,FALSE,"2016","07","08"
2016-06-28,"MDT-T3-W188-H57","NE, NY, ME, PA, WV, WY, MD, GA, TN, VA, TX, MO, KS, SC, SD, OK, AZ, NJ, CO, ID, MT","MDT","3","188","57",21,TRUE,TRUE,"2016","06","28"
2016-06-21,"ENH-T4-W104-H68","MD, ND, PA, VA, KY, WV, DE, NJ, MT, TN, IA, SD, IL","ENH","4","104","68",13,TRUE,TRUE,"2016","06","21"
2016-06-20,"SLGT-T2-W106-H29","AZ, MI, IL, IN, MO, OH, NY, VT, MA, PA, NE, CO","SLGT","2","106","29",12,FALSE,TRUE,"2016","06","20"
2016-06-16,"ENH-T0-W342-H65","PA, WV, GA, FL, OH, AL, VA, MD, KY, TN, MO, NC, MT, ND, KS","ENH","0","342","65",15,FALSE,TRUE,"2016","06","16"
2016-06-08,"SLGT-T0-W89-H20","MD, PA, DE, NJ, ID, UT, MT, MN, OR, IA, SD, WA, WY","SLGT","0","89","20",13,TRUE,TRUE,"2016","06","08"
2016-06-05,"ENH-T1-W201-H9","CO, MI, OH, WV, VA, MD, PA, FL, NC, GA, WI, NY, DE, NJ, SC, CT, NV, MN","ENH","1","201","9",18,TRUE,TRUE,"2016","06","05"
2016-05-01,"SLGT-T2-W51-H131","IN, LA, MS, KY, SC, TN, NC, WV, OH, IL, AR, VA, TX, PA","SLGT","2","51","131",14,FALSE,TRUE,"2016","05","01"
2016-04-07,"MRGL-T0-W47-H0","MD, PA, NJ, NE, NY, VA","MRGL","0","47","0",6,TRUE,TRUE,"2016","04","07"
2016-04-01,"SLGT-T3-W45-H3","GA, MS, MI, AL, SC, ME, NJ, TX, VA","SLGT","3","45","3",9,TRUE,FALSE,"2016","04","01"
2016-02-24,"MDT-T19-W397-H44","FL, NC, VA, TN, SC, GA, PA, MD, DE, DC, NJ, NY, CT, MA, RI, ME","MDT","19","397","44",16,TRUE,TRUE,"2016","02","24"
2016-02-16,"MRGL-T12-W52-H0","FL, NC, NJ, PA, NY, ME","MRGL","12","52","0",6,TRUE,TRUE,"2016","02","16"
